name	registration_no
AARADHYA VACATIONS	PV00252861
AATHIQA ACADEMY	PV00253219
AARYA TRADING	PV00255597
AAA MEDIA SOLUTION	PV00278366
AADYAH CREATIONS	PV92430
AACE CONSULTANTS	PV00266093
AASIAN INTERNATIONAL INSURANCE BROKERS	PV00208084
AAMINA RICE PRODUCTS	PV00253301
AARAMINDS	PV00275453
AAA GEM & JEWELLERY	PV00288889
AARA ENGINEERING CO	PV00288310
AASHA HONDLOOM	PV110855
AACE CONSULTANTS	PV00266093
AAMANEY EXPORTS	PV00265389
AAS HOLDING TRAVELS & TOURS	PV00253898
AASHIRWAD PEARLS GEMS & JEWELERS	PV120769
AARAA BY AA	
AAMINA RICE PRODUCTS	PV00253301
AANYA FASHIONS	PV00257509
AAYUBOWAN LANKA	PV89576
AARA ENTERPRISES	PV00289160
AAZZ.LK	PV00242971
AALAKAMANDAWA HOLIDAY RESORT	PV108529
AAA AGRI AND  SPICES EXPORTERS	PV00259866
AAA INTERNATIONAL LANKA	PV00288222
AATHI PARASAKTHI	PV00288005
AATHI IT CONSULTANT	PV00281749
AATHMAJAN ENTERPRISES	PV131513
AAIVU FOUNDATION	GL00281829
AARYENS INTERNATIONAL	PV00202012
AAQUIB INTERNATOINAL	PV00245670
AADHINISHI FASHION	PV121795
AAA AUTO TRADING	PV00287332
AARA  CAFE	PV00254460
AARON SYNERGY LANKA	PV00249927
AAROGYA RICE MILL	PV00206325
AAHEEL AHAMED CONSTRUCTIONS	
AALIYA TRAVELS & TOURS	PV80589
AASHIYA IMPEX	PV62907
AARUTHRAA	PV84146
AARA INDUSTRIES	PV90223
AARC INVESTMENT	PV122429
AAKASH GROUP ADMINISTRATION SERVICES	PV123426
AAZIR MOBILE	PV66579
AAISH LANKA	PV87626
AARATHANA TOURS &  TRAVELS	PV00286308
AAHIL MOTORS	PV00235792
AAYAT HOMES	PV00233282
AARKH ENGINEERING & CONSULTANCY	PV00239096
AAK INTERNATIONAL	PV00285595
AAKARSHA GLOBAL	PV00262768
AATHAVAN MOTOR COMPANY	PV84862
AARK TRADING	PV89622
AADHIRA HOLDINGS	PV00241350
AARYA EXPORTS	PV00245956
AARIYAN CREATIONS	PV00211822
AATHIL BUILDERS	PV00238417
AALIYA TRADING	PV00229377
AASHIF TRADING	PV00205593
AARADHANAA PRODUCTIONS	PV00226193
AASIYA TRAVELS AND TOURS	PV00271305
AAASHU MARKETING	PV00248420
AASIYA ARK	PV00250829
AAA STAR	PV00251089
AANYA HOLDINGS	PV00210132
AALIYAH INTERNATIONAL	PV84577
AARYA REALTY	PV122087
AAHIL TRADING	PV00272378
AATS ASSOCIATES	PV00256464
AAYU SRI LIFE	PV00255236
AACKAR ASSOCIATES	PV00210104
AARNAA INDUSTRIES	PV00212848
AAYURA NATURALS	PV00222107
AALIA'S MEHENDI	PV00265533
AADHAVAN STORES	PV00246513
AARYA LANKA FOUNDATION	GA2988
AA JAPAN (PVT) LTD	FC00251549
AADHAVAN CONSTRUCTION	PV123329
