name	registration_no
ADA CELLWORKS	PV62916
ADA GROUP OF COMPANY	PV00290450
ADAARAN JAPAN	PV69825
ADACAS	PV123776
ADAD TRADERS	PV116289
ADAGAMAGE GENERAL TRADING	PV00284029
ADAGE CONSULTING	PV00220026
ADAGRA CREATIVES	PV92206
ADAHAS	PV4362
ADAIKKALA KOODARAM	GL00233908
ADALEX TECHNOLOGIES	PV00270888
ADAM & EESA HOLDINGS	PV00244507
ADAM & MUSTHAQBLE	PV17304
ADAM AND EVE	PV4313
ADAM APPARELS	PV3024
ADAM CAPITAL	PV10527PQ
ADAM CAPITAL MICRO CRADIT	PV106314
ADAM CARBONS	PV4158PB
ADAM CORPORATE SECRETARIAL	PV93462
ADAM ELECTRICALS	PV00237956
ADAM EXPORTS	PV00251526
ADAM GLOBAL TOURS	PV00292333
ADAM IMPORTS & EXPORTS	PV124482
ADAM SEA FOOD	PV00245733
ADAM SERVICES	PV00258309
ADAM TRUST	PV91283
ADAM'S FARM	
ADAM'S PEAK CONSULTANCY	PV130089
ADAMANT INTERNATIONAL	PV78346
ADAMANTIUM INVESTMENTS	PV107563
ADAMAS PEAK	PV00277286
ADAMCO	PV73626
ADAMEXPO	PB365
ADAMGEMS	PV12885
ADAMJEE DEVELOPMENTS	PV15306
ADAMJEE EXTRACTIONS	PV5035
ADAMJEE GROUP	PV105418
ADAMJEE LUKMANJEE & SONS	PV16637
ADAMJEE LUKMANJEE GROUP	PV109261
ADAMJEE MARKETING	PV74477
ADAMJEE PHARMA	PV8112
ADAMJEE SOLUTIONS	PV00257955
ADAMPAN BIO	PV82083
ADAMPAN ORGANIC FARM	PV00248124
ADAMS BRIDGE SWIM	PV00221740
ADAMS CEYLON TOURS	PV00219103
ADAMS HOLDINGS	PV12639
ADAMS INTERNATIONAL	PV108290
ADAMS LANKA ENTERPRISES	PV123361
ADAMS PEAK GROUP OF COMPANIES	PV83127
ADAMS TEA AND SPICES	PV00219804
ADAMS TREASURE	PV00234918
ADAMS TYRE INDUSTRIES	PV00251946
ADAMS VIEW TEA FACTORY	PV10464
ADAMSONS ASSOCIATES	PV00275828
ADAN EXPRESS INTERNATIONAL SHIPPING & LOGISTICS	PV83633
ADAN TRADERS	PV00244372
ADANA BEACH RESORT	PV94333
ADANA FOOD (PRIVATE) LIMITED.	PCC00293394
ADANA FOOD	PV00261362
ADANS IMPEX INTERNATIONAL	PV129581
ADAPANTHIYA	
ADAPT ADVISORY	PV89244
ADAPTIVE BIO ENERGY	PV00268808
ADAPTIVE TECHNOLOGIES	PV00252731
ADARE LANKA HOLDINGS	PV114317
ADASH TRADING	PV00249290
ADAVII	PV00281114
ADAVON MARKETING	PV93869
ADAYAALAM	GA2985
