name	registration_no
AER	PV00270889
AERA SPICES & HERBS	
AERFRIGOR INTERNATIONAL	PV70066
AERIAL SCREWS	PV00293121
AERIAL TELECOM LANKA	PV00221062
AERIAL VIEW	PV00202261
AERIS HOLDINGS	
AERIS REAL ESTATE	PV00295857
AERISMA	PV00228985
AERIUM LANKA	PV00233823
AERNZO	PV00261791
AERO - LANKA TRAVEL SERVICE	PV4468
AERO CABS TRAVEL SERVICES	PB945
AERO CAT	PV00279308
AERO FINANCIAL LANKA	PV66277
AERO FOREIGN EMPLOYMENT AGENCIES	PV00288153
AERO JAPANESE LANGUAGE TRAINING CENTER	PV00292415
AERO JET	
AERO JET TOURS, TRAVELS & TRANSPORTERS	PV00297556
AERO LABORATORIES	PV00212584
AERO LANKA	
AERO LANKA AVIATION	PV76223
AERO LANKA AVIATION ACADEMY	PV00205541
AERO LANKA FLIGHT TRAINING ACADEMY	PV63895
AERO LANKA TOURS AND TRAVELS	PV20079
AERO MOTORS	PV00235763
AERO OCEANIC FREIGHTERS	PV12305
AERO ONDA OFFSHORE LANKA	PV16342
AERO SKY TRAVELS & TOURS	PV104083
AERO STAR PHARMACY	PV119740
AERO TECHNOLOGIES	PV68280
AERO TEL	PV5195
AERO TRADING	PV00265546
AERO TRAVELS GROUP	PV00257834
AERO VISA & TOURS	PV00272747
AERO WINGS	PV00275979
AERO WORLDWIDE TRAVELS SERVICES	PV2966
AEROCEAN LOGISTICS	PV84909
AEROFIN	PV1176
AEROFORM	PV96281
AEROGENII	PV00255051
AEROGRAFIX	PV00296456
AEROKETH	PV115899
AEROLANKA	PV8390
AEROLANKA HOLIDAYS	PV00200466
AEROLINE  COLOMBO	PV00212888
AEROLOFT	PV00250797
AEROMAX HOLDING	PV00248212
AERON HOLDINGS	PV125067
AERONAUT TRAVELS	PV00272588
AERONIA TRADERS	PV00222876
AERONOMIC	PV98017
AEROSCORP INTERNATIONAL	PV00247933
AEROSKY SERVICES	PV00206069
AEROSTAR HOME APPLIANCES	PV98812
AEROTECH ENGINEERING SURVEY	PV00248082
AEROTECK GLOBAL	PV00202015
AEROTEK LANKA	PV00247365
AEROVENT ENGINEERS	PV00226079
AEROWORLD	PV11278
AEROZONE TRAVELS	PV123423
AERUS HOLDING LANKA	PV00276357
AERY CAPITAL	PV00286985
AERZIC	PV00229557
