name	registration_no
A B STAR SANDS	PV00227525
A B MAURI LANKA (PRIVATE) LIMITED	PV4816
A B IMPORTS & EXPORTS	PV00254993
A B N ENTERTAINMENTS	PV116184
A B M GLOBAL MARKETING	PV00260073
A B C CORNER	PV00266030
A B I INTERNATIONAL CAMPUS	PV00265500
A B C ADVANCED TECHNOLOGIES	PV00221269
A B M S HOLDINGS	PV00202637
A BAMBALAPITIYA PHARMACY	PV00280386
A B C ACCESS ABROAD	PV97094
A B N C N WICKRAMARATHNE CREDIT AND HOLDING	PV00263981
A BASE MECHFARM	PV68281
A B S PAYROLL	PV00208959
A B C TRENDS	PV00205731
A B C CREDIT CARD COMPANY	PB1176
A B S EMPLOYMENT	PV99554
A B AUTOMATION	PV2706
A B N DISTRIBUTORS	PV00214300
A B C STUDY LINKS LANKA	PV78706
A B AUTOMATION	PV2706
A B C INDUSTRIAL CHEMICALS	PV00224853
A B S ZEN B P O	PV00234902
A B M BUDGET SUPER	PV00224411
A B RITIGALA PRODUCTS	PV00224925
A B S EMPLOYMENT	PV99554
A B PRODUCTS COMPANY	PV3486
A B & R SONS	PV00201444
A B N DISTRIBUTORS	PV00214300
A B X DIGITAL FUTURES	PV00232167
A B C LABS	PV00268579
A B Z INTERNATIONAL	PV00227549
A B C CARE	PV00282129
A B A ENTERPRISES	PV00266889
A B C LOGISTICS COLOMBO	PV00247994
A B N ENTERTAINMENTS	PV116184
A B S POULTRY FARM	PV107967
A B S AQUA HOLDINGS	PV00221170
A B C KIDS	PV75285
A B GUIDE	PV108117
A B TRAVELS	PV88032
A B I TRAVELS AND TOURS	PV79613
A B S EDUCATIONS & PUBLISHERS	PV00269278
A B C MEDICARE	PV00222713
A B C LABS	PV00268579
A B MAURI LANKA	PV4861
A B C CARE	PV00282129
A B I INTERNATIONAL CAMPUS	PV00265500
A B R S CONSULTANCY SERVICES	PV00211909
A B S TRADING	PV85935
A B C FREIGHT SERVICES	PV5619
A B C TRENDS	PV00205731
A B D F LANKA	GA2448
A B C PHARMA LOGISTICS	PV62575
A B S ZEN B P O	PV00234902
A B C ENTERPRISES & FOOD PRODUCTS	PV400
A B D ENGINEERING	PV00239768
A B M BUDGET SUPER	PV00224411
A B RITIGALA PRODUCTS	PV00224925
A BAY AVIATION	PV00248348
A B L LANKA	PV00270347
A B E JAPAN LANKA	PV81041
A B S COURIER	PV77871
A B IMPORTS & EXPORTS	PV00254993
A B STAR SANDS	PV00227525
A B REAL ESTATE	PV19426
A BAUR & COMPANY	PV15827
A B MAURI LANKA	PV4861
A B Z INTERNATIONAL	PV00227549
A B MAURI LANKA (PRIVATE) LIMITED	PV4816
A B REAL ESTATE	PV19426
A B C ACCESS ABROAD	PV97094
A B C GRANITE & MARBLE	PV00207411
A B S EDUCATIONS & PUBLISHERS	PV00269278
A B AUTOMATION	PV2706
A B C CORNER	PV00266030
A B C TRENDS	PV00205731
A B C MEDICARE	PV00222713
A B C INDUSTRIAL CHEMICALS	PV00224853
A B C LABS	PV00268579
A B R S CONSULTANCY SERVICES	PV00211909
A BASE MECHFARM	PV68281
A B AUTOMATION	PV2706
A B C FREIGHT SERVICES	PV5619
A B S TRADING	PV85935
A B N DISTRIBUTORS	PV00214300
A B S ZEN B P O	PV00234902
A B C LANKA CHEM	PV00237901
A BAY AVIATION	PV00248348
A B C PROPERTY DEVELOPERS	PB663
A B C ECO CONSULTANT	PV00219002
A B C DIGITAL CONSULTANTS	PV00246237
A B C CEYLON SUPER FOODS	PV00231018
A B C CAPITAL CORPORATION	PB685
A B F INTERNATIONAL	PV00245807
A B L MOTOR COMPANY	PV60220
A B S TRADING  LANKA	PV00223353
A B I TRAVELS AND TOURS	PV79613
A B FORTUNE TECHNOLOGY SERVICES	PV107559
A B L LANKA	PV00270347
A B M IMPORT & EXPORT	PV00259627
A B MAURI SOUTH WEST ASIA PTY LIMITED	
A B C ADVERTISING	PV14258
A B C GLOBAL LANKA	PV00260181
A BOOK LK ENTERPRISE	PV129083
A B UNIVERSAL	PV00277446
A B C FILMS	PV62358
A B S HOSPITALITY AND HOTELS	PV102314
A B R LANKA	PV102183
A B C RADIO NETWORK	PV62648
A B S HOSPITALITY AND HOTELS	PV102314
A B T SKY	PV83461
A B N IMPEX	PV77415
A B C SHOE MANUFACTURES	PV88319
A B C RADIO NETWORK	PV62648
A B M CONSTRUCTION AND HOLDING	PV119977
A B CASH MANAGEMENT SERVICES	PV00200464
A B C PHARMA SERVICES	PV198
A B JAFFNA INTERNATIONAL	PV00251799
A B CREATIONS	PV104693
A BAUR AND COMPANY  TRAVEL	PB1296PV
A B CREATIONS	PV104693
A B M LINCOLN	PV00227417
A B C BOA CENTER	PV00235986
A B LANKA IMPORT AND EXPORT	PV00230819
A B L PROJECTS	PV97768
A BAY LEISURE	PV00218732
A B H MARKETING	PV00220984
A B M DISTRIBUTORS	PV00243726
A B C TRADE AND INVESTMENTS	PV12558
A B C GROUP LANKA	PV76579
