name	registration_no
DAF LEYLAND REFUSE COMPACTS	PV82762
DAFA SUPERMARKET	PV00307660
DAFEDIL ACADEMY OF BUSINESS & MARKETING	PV00217320
DAFENG AGRI - TECH COMPANY	PV95937
DAFFODIL CATERING SERVICE	PV00334464
DAFFODIL DESIGNS	PV00229102
DAFFODIL GRAND	PV00349296
DAFFODIL HOLIDAYS	PV00224242
DAFFODIL HOTELS	PV80617
DAFFODIL IMPEX	PV00328414
DAFFODIL TRAVEL	PV00292103
DAFFODIL VILLA	PV77924
DAFFODILS GENERAL TRADING	PV00263994
DAFFODILS HOTEL MANAGEMENT	PV00205481
DAFFODILS LANKA	PV6803
DAFNI VERGINIA HEALING & ASTRO	PV00293771
DAFO CLEARING	PV00268458
DAFODILS MANAGEMENT COMPANY	PV106672
