name	registration_no
DOLALANGA WATTA	PV70344
DOLAUDAWATTA AGRO PRODUCERS	PV00267955
DOLAWA HOLDINGS	PV112338
DOLCE CASA	PV00211669
DOLCE CEYLON	PV00219952
DOLCE INTERNATIONAL	PV94094
DOLCE ITALIA SERVICES	PV118701
DOLCE OVEN	PV00259934
DOLCE VITA & SEA SANDS	PV111992
DOLCE VITA	
DOLE LANKA	PV7303
DOLESWELA HYDRO	PV66856
DOLL HOUSE	PV102469
DOLLAR CAPITAL FIVE	PV94326
DOLLAR CHALLENGE	PV00267913
DOLLAR CORPORATION CEYLON	PV126627
DOLLAR DISTRIBUTION	PV14073
DOLLAR KNIT FABRICS	PV00216815
DOLLAR LANDS	PV98739
DOLLAR SHOPPING FESTIVAL	PV123412
DOLLAR TRADERS	PV00215597
DOLLARBIRD	PV00266816
DOLLARMART	PV77860
DOLLIYA SECRET WHITE BEAUTY COMPANY	PV00274872
DOLLY METAL	PV111955
DOLLY’S.LK	PV00233203
DOLOMI STUDIO	PV16398
DOLOMITE LANKA	PV80157
DOLOSWELA INVESTMENT COMPANY	PV72908
DOLPHIN BEACH PARADISE	PV77276
DOLPHIN CONSULTANTS	PV72326
DOLPHIN CORREDOR BEACH RESORT	PV108564
DOLPHIN CORRIDOR BEACH RESORT AND SPA	PV115342
DOLPHIN CRUISES LANKA	PV115012
DOLPHIN ECO PACK	PV00284732
DOLPHIN GROUP INDO LANKA	PV93894
DOLPHIN HOLIDAYS	PV88985
DOLPHIN INTERNATIONAL	PV73404
DOLPHIN INTERNATIONAL NAVIGATION	PV97434
DOLPHIN MARINE COLOMBO	PV00211218
DOLPHIN MARINE LANKA	PV60041
DOLPHIN MARINE SERVICES	PV4393
DOLPHIN MARINE UNICLEAN ASIA	PV00291738
DOLPHIN MARITIME	PV9462
DOLPHIN REEF PLANTATIONS	PV1102
DOLPHIN TOURISM SHEN	PV00229474
DOLPHIN TRADING LANKA	PV00260587
DOLPHIN TRAVEL	PV115586
DOLPHINE MARINE COLOMBO UNDERWATER HULL CLEANING & SHIP REPAIRS	PV00281588
DOLSHE HOLDINGS	PV00243911
DOLUCK	PV113863
DOLUCK HOLDING	PV118648
DOLUKANDA ESTATE	PV00217677
DOLUKANDA ROCK ESTATE	PV00282297
DOLVO	PV101245
