name	registration_no
DORA CONSTRUCTIONS & ENGINEERING	PV115420
DORA DECORS	PV00267596
DORA ENTERPRISES	PV71543
DORA FASHIONS	PV00245522
DORA GLOBAL VENTURES	PV00256529
DORA INTERNATIONAL	PV00287776
DORA L K	PV00247160
DORA'S KITCHEN	PV00276990
DORADO SUPPLIERS AND TRANSPORTATION	PV00290827
DORADO TECHNOLOGIES	PV00235392
DORADO.LK	
DORAGALA HILLS	PV00232513
DORAKODATA	PV00224382
DORALAWITIYEHENA TEA FACTORY	PV4232
DORALIYADDA HYDRO POWER	PV85794
DORAMADALAWA SOLAR POWER ONE	
DORAMADALAWA SOLAR POWER TWO	
DORARE	PV00234960
DORATHI HOUSING AND PROPERTY DEVELOPMENT	PV120779
DORATHY LUXE	PV00282046
DORATIYAWA OIL MILL	PV00224462
DORATUWA ENTERPRISES	PV99556
DORD PANGARAH	PV91338
DOREE	PV98880
DOREEN GARDEN	
DOREY ENGINEERING & CONSULTANCY	PV00201287
DORIAN INVESTMENT	PV107495
DORIC ESTATES	PV00210531
DORIC HOLDINGS	PV00210529
DORIS GRAPHITE	PB00216682
DORIS HEAVIES	PB00216748
DORIS METALS	PB00216747
DORMA INDIA	FC1111
DOROTHY TEXTILES	PV00204217
DORSET DEVELOPERS	PV114245
DORSH TRAVELS	PV00298143
DORUS FOUNDATION	GA00205319
