name	registration_no
ENVARA HOLDINGS	PV103111
ENVEE SUPPLIES	PV286
ENVER GREEN GLOBAL HOLDINGS	PV130183
ENVEST CAPITAL INVESTMENTS	PV109449
ENVI GEOTECHNICALS	PV00258183
ENVIA	PV00231158
ENVICARE BIO - TECH	PV21860
ENVICTA	PV00229191
ENVICTUS SOLUTIONS	PV00223175
ENVIE HOLDINGS	PV00238323
ENVIE VIVID TECHNOLOGY	PV00212990
ENVIMA PHARMACEUTICALS	PV00265811
ENVIO GLOBAL LOGISTICS	PV00222862
ENVIPURE LANKA	PV3033
ENVIQ ENGINEERING	PV00228265
ENVIRO ENGINEERING SOLUTIONS	PV86500
ENVIRO MISSION LANKA	PV00270502
ENVIRO POWER LANKA	PV86814
ENVIRO SOLUTIONS	PV00277063
ENVIRO TRITECH	PV114636
ENVIRO WATER INTERNATIONAL	PV00263727
ENVIRO WATER SYSTEMS	PV17283
ENVIROFIT TECHNOLOGIES	PV67387
ENVIROGRO	PV62148
ENVIROM LANKA	PV00237173
ENVIROMEC INTERNATIONAL	PV7149
ENVIROMMENTAL & PLANTATION MANAGEMENT	PV21166
ENVIRON	PV73222
ENVIRON TECH	PV79676
ENVIRONMENT AND COMMUNITY DEVELOPMENT ORGANIZATION	
ENVIRONMENT AND DEVELOPMENT RESEARCH CONSORTIUM	PV82466
ENVIRONMENT AND DEVELOPMENT STUDIES FOUNDATION	GA2024
ENVIRONMENT CONSERVATION TRUST	GA2529
ENVIRONMENT CONSULTANCY AND MANAGEMENT SERVICES	PV21560
ENVIRONMENT MANAGEMENT GROUP	PV64527
ENVIRONMENTAL CARE LANKA	PV120112
ENVIRONMENTAL ENGINEERING CONSULTANTS	PV11386
ENVIRONMENTAL FOUNDATION	GL32
ENVIRONMENTAL FOUNDATION	PBG41
ENVIRONMENTAL FRIENDLY JANITORIAL AND CLEANING SERVICES	PV00212932
ENVIRONMENTAL INNOVATIONS	PV74651
ENVIRONMENTAL LABORATORIES CHEMICALS	PV14710
ENVIRONMENTAL SCIENCE	PV16546
ENVIRONMENTAL SCIENCE CONSULTANTS	PV69065
ENVIRONMENTAL SERVICE AND WASTE MANAGEMENT	PV89247
ENVIROPLUS ENGINEERING	PV68050
ENVIROTECH SOLUTIONS	PV118130
ENVIS SYSTEMS AND SOLUTIONS	PV00251684
ENVISAGE	PV00288478
ENVISHER HOLDINGS	PV97103
ENVISHER HOLDINGS	PV97130
ENVISIO LITE SOLUTIONS	PV00224096
ENVISION DIGITAL SOLUTIONS	PV00232065
ENVISION HOLIDAYS	PV70922
ENVISION INTERNATIONAL HIGHERED	PV69019
ENVISION INVESTMENTS	PV00211811
ENVISION MULTI EDUCATIONAL INSTITUTION	PV00256257
ENVISION STUDIO	PV00271901
ENVISION TECHNOLOGIES	PV88259
ENVISION TRAVELS	PV00253648
ENVISIONLINKS SOLUTIONS	PV00288511
ENVIVO INTERNATIONAL	PV114857
ENVO TOTAL HOMES	PV68224
ENVOGUARD HOLDINGS	PV00212640
ENVOL TECHNICS	PV00222223
ENVOLTA ENERGY	PV00260321
ENVOY CEYLON TEA	PV00228673
ENVY LANKAN HOLDING	PV123965
