name	registration_no
HAI CREATIONS	PV9761
HAI HOLDING	PV95451
HAIBRAN RICE MILL AND MACHINERIES ENTERPRISES	PV00294280
HAIDA GLOBAL MARKETING	PV00259243
HAIDES EXPORTERS	PV00282397
HAIDI ENGINEERING	PV00256751
HAIF''S GEM JEWELLS	PV108928
HAIFA ADVENTURE RESORT & SPA	PV00203685
HAIFA FREIGHT & FORWARDING	PV66720
HAIFA GEMS	PV00271187
HAIFA IMPORTS & EXPORTS	PV00281080
HAIFA REAL ESTATE BUYING AND SELLING	PV111055
HAIFA RESTAURANT AND HOTEL	PV100233
HAIFA TRAVELS AND TOURS	PV1543
HAIGA	PV00240738
HAIGS INTERNATIONAL	PV00261960
HAIK SECURITY & FIRE PROTECTION	PV00241883
HAIK SYSTEMS LANKA	PV124785
HAIL LANKA CHEMICAL INDUSTRIES	PV61240
HAIL SU INTERNATIONAL	PV5855
HAIL TRUST INVESTMENT	PV98534
HAILCO RUBBER PRODUCTS	PV82908
HAILEY CEYLON PRODUCTS	PV00259066
HAILEY FOUNDATION	GA00260781
HAILEYBURY HOMES	PV126875
HAILO	PV00260802
HAILONG INTERNATIONAL COMPANY	PV18102
HAILS TRADING COMPANY	PV00206782
HAIM HOLDINGS	PV00240937
HAIM TRAVEL	PV00271895
HAIMAN LANKA	PV131009
HAINAN AIRLINES	PV00288329
HAINI TRAVELS & TOURS	PV00247367
HAINS EDUCATION INSTITUTE	PV103387
HAIR AND BEAUTY	PV6982
HAIR AND BEAUTY CLUSTER	PV101346
HAIR ASSOCIATES	PV17577
HAIR BY PRANEETH BEAUTY SALON	PV00294043
HAIR CARE PROFESSIONAL	PV00210859
HAIR CRAFT	PV129973
HAIR MANIA HAIR CARE WITH RANGA	PV00295548
HAIR REFINERY	PV00229358
HAIR SOLUTIONS	PV113916
HAIR STUDIO 369	PV00279678
HAIR TRANSPLANT HOLDINGS	PV00284258
HAIRA FARMS	PV8682
HAIRA GEM AND JEWELLERY	PV00277348
HAIRA MANPOWER RECRUITMENT	PV68760
HAIRA TECH	PV00279038
HAIRAH    TRADING	PV00215967
HAIRBAE	PV00256264
HAIRIYA TRAVELS	PV127614
HAIRONG INVESTMENTS INTERNATIONAL	PV121819
HAIRU CORPORATE MANAGEMENT SERVICES	PV93823
HAIRU DEVELOPMENT ENGINEERS	PV18973
HAIRU FISHERIES MANAGEMENT	PV93976
HAIRU FOOD TECHNOLOGIES	PV80551
HAIRU INVESTMENT MANAGEMENT SERVICES	PV80308
HAIRU MARKETING SERVICES	PV93734
HAIRU PROCUREMENT & LOGISTICS SERVICES	PV80552
HAISEN FREIGHT  FORWARDING	PV00218477
HAISEN GLOBE TRAVELS	PV00267201
HAITZ INDUSTRIES	PV21330
HAIWAN MIRISSA BAY CHINESE RESTAURANT	PV121835
HAIYORK TRADING INTERNATIONAL	PV106909
HAIYU IMPORTS	PV98919
HAIZA TRADING	PV00275053
HAIZAM SOURCING	PV00224927
