name	registration_no
HIT FACTORY	PV1671
HIT MANAGEMENT CONSULTANTS	PV00209552
HIT MARKETING	PV00208889
HIT ME .LK	PV00233498
HIT MEDIA SOLUTIONS	PV101858
HIT TENNIZ	PV90001
HITACHI DIGITAL PAYMENT SOLUTIONS	PB275
HITACHI ENERGY INDIA LIMITED	FC00234064
HITACHI FORWARDING LANKA	PV00224603
HITACHI K E A T S	PV131220
HITACHI PLANT ENGINEERING AND CONSTRUCTION	NF501
HITACHI TRADING	PV00268077
HITASA INTERNATIONAL GALAXY	PV00250398
HITAZAKI GENERAL HEAVY EQUIPMENT TRADING	PV00268436
HITCH LANKA	PV127899
HITCHED  HIKERS  HOSTEL	PV00215770
HITEC CABLES	PV83980
HITEC INFORMATION SYSTEMS	PV637
HITEC SENSOR DEVELOPMENTS	PV68220
HITEC SPORTS	PV69301
HITECH BUILDING SOLUTIONS	PV00289955
HITECH COMPUTER SYSTEMS	PV66375
HITECH CONCRETE SOLUTIONS	PV00200128
HITECH ELECTRICAL LANKA	PV109250
HITECH HOLDINGS	PV114580
HITECH INSTITUTE	PV00280216
HITECH IT SOLUTION	PV00265480
HITECH LANKA	PV00283449
HITECH MEDICARE INTERNATIONAL	PV65604
HITECH METRO CONSTRUCTIONS	PV00219743
HITECH NETWORK SOLUTIONS	PV00287840
HITECH OPTIONS	PV68010
HITECH TRADING	PV11744
HITECHNO MACHINERIES LANKA	PV126123
HITEX ALLIANCE	PV107463
HITHAMITHURU BROTHERS & COMPANY	PV00255927
HITHANADURA HOLDING	PV00240934
HITHAYU WELLNESS CENTER	PV00207933
HITHER TECH	PV96338
HITHROO FINANCE & INVESTMENT	PV68025
HITHRU ORGANICS	PV00250639
HITIGE AND COMPANY	PV00288948
HITMEK	PV00259624
HITSEEN	PV00273996
