name	registration_no
HIV/ TB NETWORK	
HIVAASA ENGINEERING	PV118536
HIVE BUSINESS SOLUTIONS	PV00226779
HIVE ENERGY	PV00276551
HIVE GEMS	PV00237623
HIVE HAIR BEAUTY AESTHETICS	PV00305284
HIVE HOLDINGS	PV00267495
HIVE MIND SOLUTIONS	PV00284032
HIVE PROJECT MANAGEMENT AND CONSULTANCY	PV00232005
HIVE SOLUTIONS	
HIVE TECHNOLOGIES	PV110113
HIVE VENTURES LANKA	PV112361
HIVEBRID COLLABORATIONS	PV00247596
HIVERAY	PV00285340
HIVESPACE	PV00236563
HIVETZ NUTRI	PV00208312
HIVVY HOLDINGS	PV00238434
