name	registration_no
ISUJITH ENTEPRISES	PV19734
ISUN LANKA	PV104666
ISURA AQUA	PV00228767
ISURA CEYLON FOODS	PV00280858
ISURA HERBAL HEALTHCARE	PV120770
ISURA INTERNATIONAL	PV00282339
ISURA PRINTERS & PUBLISHERS	PV00223017
ISURA TRUST INVESTMENT	PV00203356
ISURAM HARDWARE	PV76762
ISURAU RUBBER	PV62894
ISURAVI HOMES AND CONSTRUCTIONS	PV72363
ISURI LANKA ENTERPRISES	PV00292403
ISURI MODERN HOMES	PV96740
ISURI MOTORS	PV22016
ISURINI ENTERPRISES	PV00253537
ISURU  PROJECTS & ENGINEERING	PV00253060
ISURU ADVERTISING	PV83939
ISURU AGRO AND HERBAL PRODUCTS	PV00212130
ISURU AND POWER ENERGY	PV00217584
ISURU AUTO SERVICES	PV83932
ISURU AUTO TRADING	PV00236755
ISURU AUTOZONE EXPRESS	PV69994
ISURU CATERERS	PV12809
ISURU COIR EXPORT	PV00236709
ISURU CONSTRUCTION SERVICES	PV00272766
ISURU CONSTRUCTIONS	PV12000
ISURU CONSULTING SERVICES	PV00293697
ISURU CREATIONS	PV96654
ISURU DEHIGOLLA MULTY VISION	PV118094
ISURU DEHIGOLLA SOLAR	PV118236
ISURU DEHIGOLLA SOLAR SYSTEM	PV118114
ISURU DUSHAN IMPEX	PV60377
ISURU ENGINEERING	PV1583
ISURU ENGINEERING AND CONSTRUCTIONS	PV120027
ISURU ENGINEERING OVERSEAS	PV66031
ISURU ENTERPRISES	PV9138
ISURU ENTERPRISES AND INVESTMENT	PV123367
ISURU FAMILY MART	PV00285332
ISURU FAMILY SUPER	PV119651
ISURU FASHION	PV00262071
ISURU GEM COMPANY	PV21955
ISURU GROUP	PV78412
ISURU HOLDINGS	PV84184
ISURU INDUWARA INVESTMENT	PV110972
ISURU INTERNATIONAL	PV82621
ISURU INTERNATIONAL HOTELS	PV00293696
ISURU INTERNATIONAL IMPORT EXPORT	PV89126
ISURU INTERNATIONAL TRADING	PV111324
ISURU INVESTMENT LANKA	PV97617
ISURU JAPAN LANKA	PV112413
ISURU LAND AND INVESTMENTS	PV67264
ISURU LANDS	PV61720
ISURU LANKA DEVELOPMNTS	PV10856
ISURU LANKA HOLDINGS	PV124114
ISURU LANKA INTERNATIONAL HOLDINGS	PV00228095
ISURU LANKA SALTNERS	PV106786
ISURU LOGISTIC	PV89766
ISURU METAL CRUSHER	PV80165
ISURU MICRO CREDIT	PV00252614
ISURU NAVODAYA	PV00228501
ISURU NEW INVESTNMENTS	PV00209564
ISURU OFFSET PRINTERS	PV00215080
ISURU OIL MART	PV00284230
ISURU PACKAGING INDUSTRIES	PV108864
ISURU PAWANA	PV128089
ISURU PERERA	PV00267278
ISURU PIYASA CONSTRUCTIONS	PV112951
ISURU PLANT NURSERY	PV00263925
ISURU PRINTERS	PV21865
ISURU PRODUCTS ANURADHAPURA	PV115583
ISURU RESTAURANTS	PV00281184
ISURU SALT INDUSTRIES	PV122689
ISURU SEED PRODUCTION	PV22267
ISURU SHAKTHI MICRO CREDIT	PV119291
ISURU SOMARATNE	PV00203523
ISURU STEEL	
ISURU TELECOM SERVICES	PV66098
ISURU TRADE CENTER	PV1984
ISURU TRADERS	PV3099
ISURU TRADING INTERNATIONAL	PV95267
ISURU TYRE CENTRE	PV130479
ISURU UYANA RIYA POLA	PV00228261
ISURU UYANA TIMBER DEPOT	PV72805
ISURU VET PHARMA	PV100583
ISURUBIMA	PV79852
ISURUGIRI HOTELS	PV13870
ISURULANKA HOUSING AND AGENCIES	PV66412
ISURULANKA SEEDS	PV00217006
ISURUSIRI AGRIBIZ	PV00207519
ISURUSIRI MOTORS	PV100815
ISURY ADVERTISING SOLUTIONS	PV68200
ISUSHA FOREIGN EMPLOYMENT	PV75569
