name	registration_no
JONAH ENTERPRISES	PV109000
JONALEX	PV00217057
JONALIVER & COMPANY  (PVS 6696)	PV20704
JONAMS APPAREL	PV13028
JONAT COCO LANKA	PV00206409
JONATHAN & JUNIOR HEALTH CARE	PV86675
JONATHAN & SONS LIQUORS	
JONATHAN INDUSTRIES	PV123357
JONATHANFAMILY FARM	PV94470
JONATHANS - 1924	PV102058
JONATHANS MARADANA	PV80221
JONES CARRIERS	PV4166
JONES INTERNATIONAL	PV4494
JONES LAND	PV4163
JONES OVERSEAS	PV4483
JONES TEAS	PV13618
JONI'S CEYLON	PV00289384
JONISON	PV62354
JONTY	PV00237750
