name	registration_no
KRAAK	PV83949
KRACK AND COMPANY	PV120659
KRAEY GLOBE	PV00255345
KRAFT FOOD STUFF TRADING	PV81374
KRAFT FOODS	PV74318
KRAFTY TOTS	PV00287206
KRAKEN MEDIA	PV76956
KRANGA PUBLICATIONS	PV75824
KRANZ MEDIA	PV72696
KRASIV INDUSTRIES	PV99405
KRATOM IMPEX	PV00235468
KRATON	PV00231595
KRATOS INVESTMENTS	PV00297171
KRATOS LANKA	PV00286819
KRATOS ONLINE	PV93660
KRAUSE INVESTMENTS	PV97985
KRAV MAGA-KAPAP LANKA INTERNATIONAL	PV00201958
KRAV MEGA - KAPAP LANKA INSTITUTE	PV87068
KRAVES COLOMBO	
KRAVTSOV AND SOUNS	PV20416
KRAY TRADING COMPANY	PV00247030
