name	registration_no
LARA ANDERSON COMPANY	PV00271412
LARA ENGINEERING	PV93207
LARA LANKA LOGISTICS	PV00202509
LARA M.K.	PV115419
LARA SECURITY AND INVESTIGATION SERVICES	PV103439
LARA TRAVELS	PV121923
LARA VISION	PV111671
LARA''S PLACE	PV97367
LARA'S PLACE	PV97367
LARAH HERBAL	PV00281911
LARASHAN	PV00250036
LARCO AUTOMOBILES	PV67348
LARF	PV00282643
LARGE DAIRY FARM ASSOCIATION	
LARGO TRADING	PV113434
LARICO INTERNATIONAL	PV67011
LARIMAR	PV77998
LARIMAR GROUP	PV77997
LARIO RESORT	PV122985
LARISSA REKEWA	PV2599
LARISSA TRAVELS AGENCY	PV16422
LARK	
LARK INVESTMENT	PV89989
LARK WINGS HOLDINGS	PV00241319
LARKHCHEIN	PV65268
LARO INTERNATIONAL TRADING	PV00218337
LAROFFEY INTERNATIONAL TRADING CEYLON	PV00200873
LAROS GROUP ENTERPRISES	PV88381
LARS RECRUITMENT AGENCY	PV60265
LARSEN & LAURENS	PV00274697
LARSEN & TOUBRO LIMITED	FC1291
LARSEN ARCHITECTS & CONSULTING ENGINEERS	PV83303
LARSEN, A & C E LANKA	PV72185
LARSON & TOUBRO	NF571
LARSS	
LARU REAL ESTATE	PV106124
LARUCHI	PV10200
