name	registration_no
MAL & JAY CORPORATE CONSULTANTS	PV119601
MAL ENTERPRISES	PV90216
MAL ORGANIC	PV103638
MAL SEVANA RETIEMENT HOMES	PV80674
MAL SUWADA	PV82427
MAL-KEY RENT-A-CAR	PV1650
MALA LANKA	PV69867
MALA STORES	PV19381
MALABAR GOLD & DIAMONDS	PV116221
MALABE AUTO CAR MART	PV00280684
MALABE AUTO TRADERS	PV99654
MALABE HOLDINGS	PV77163
MALABE PUNCHI CAR NIWASA	PV62989
MALABE TOWER	PV2732
MALABE WEDAGEDARA	PV91354
MALABIS	PV00204522
MALACHI FREIGHT FORWARDERS	PV83645
MALACHI HOLDINGS	PV72172
MALAGALA AND MAPALANA ECO ESTATES	PV00238663
MALAIMAKAL	PV00274772
MALAKA COCONUT AND AGRO BUSINESS	PV00214455
MALAKA SAW MILLS	PV00221551
MALAKA TIMBER STORES	PV00221552
MALAKA TRADERS	PV20307
MALAKA TRANSPORT SERVICES	PV00221560
MALALASEKERA FOUNDATION	GA3472
MALALATHUNGA DISTRIBUTORS	PV00212572
MALALATUNGA AUTO SERVICE	PV79368
MALALATUNGA CONSTRUCTIONS	PV15274
MALALATUNGA FILLING STATION	PV79369
MALANKA AGRI DEVELOPMENT	PV118361
MALANKA TRADING	PV84450
MALAR BRANDED LIFESTYLE	PV87959
MALAR CONSTRUCTION	PV00289992
MALAR F & B	PV84507
MALAR FOOD	PV00215968
MALAR MULTY PRODUCTS	PV00256824
MALAR VANAM	PV00218523
MALAS HOLDINGS	PV00210762
MALAVI ANF JAYASURIYA	PV106299
MALAY FAST FOODS	PV10010
MALAYAON AIR WAYS	F304
MALAYSIA AIRLINES BERHAD	FC1293
MALAYSIA VISA LANKAD & D INTERNATIONAL TRADING COMPANY	PV120811
MALAYSIAN AIRLINE SYSTEM BERHARD	NF32
MALAYSIAN ALLIED HEALTH SCIENCES ACADEMY LANKA	PV81190
MALAYSIAN HOLIDAYS	PV84687
MALAYSIAN HOTEL AND CATERING	PV8374
MALAYSIAN TECH	PV8960
MALAYSIAN TIMBER STORES	PV00225359
MALAYSIAN TIMBER WORLD	PV00203286
MALBA ROPES	PV21369
MALBERI HOTEL	PV111899
MALCO AUTOMOBILE	PV85799
MALCOLM REAL ESTATE	PV00274955
MALCROW GROUP	NF537
MALDEN INVESTMENT	PV112163
MALDENIYA GROUP	PV64882
MALDINVE FRESH	PV84911
MALDIVES SHIPPING SERVICES LANKA	PV00248536
MALDIVES VACATIONS	PV91514
MALDIVINA HOLIDAYS	PV2289
MALEE FASHION	PV4006
MALEEHA`S TRADING	PV2857
MALEENA HOLDINGS	PV00230902
MALEESHA PROPERTY SALES	PV63984
MALEI KALAM ENTERPRISES	PV85027
MALFANI T VISION	PV98646
MALIANZ	PV00214345
MALIBADA & SONS	PV100870
MALIBAN BIOVENTURES	PV00237209
MALIBAN BISCUIT MANUFACTORIES	PV1503
MALIBAN DAIRY AND AGRI PRODUCTS	PV90752
MALIBAN HEALTHCARE	PV00282645
MALIBAN HOTELS	PV6327
MALIBAN MILK PRODUCTS	PV1743
MALIBAN MINERAL WATERS	PV9857
MALIBAN PREMIER	PV00288907
MALIBODA HYDRO ENERGY	PV75456
MALIBU PIXEL	PV00287588
MALIBU SUNSET	PV89366
MALIEE CIVIL CONSTRUCTIONS	PV00203902
MALIGA CONSTRUCTIONS	PV106338
MALIGA FISH WHOLESALE VENDORS & WELFARE TRADE ASSOCIATION	GA3353
MALIGAWA TOURS AND EXPORTS	PV13003
MALIHANSI SHIPPING	PV73323
MALIK KIFLEE TRAVELS	PV00232080
MALIK PROPERTY DEVELOPMENT	PV8319
MALIK TRADE LINK	PV00285888
MALIMA ENTERPRISES	PV83439
MALIMBODA SANASA SHARE HOLDERS TRUST COMPANY	PB4969
MALIN ENTERPRISES	PV20189
MALINDA STEEL FURNITURE	PV17418
MALINDA TRADING	PV14482
MALINDU DAIRY	PV80205
MALINDU EXPORTS	PV17399
MALINDU PINEAPPLE	PV103415
MALINE LANKA	PV75598
MALINSA ENTERPRISES	PV91851
MALINSHA TRANSPORT & CONSTRUCTIONS	PV89261
MALINTHA GEMS & JEWELLERY EXPOTER	PV66249
MALITH AQUA LANKA	PV00251630
MALITH ENGINEERING	PV00259950
MALITH ENGINEERING TOOLS	PV00226744
MALITH INVESTMENTS & HOLDINGS	PV127239
MALITH TRADERS	PV109708
MALITHA LANKA	PV62108
MALITHTHA CATERING	PV00257938
MALIYA TRAVELS	PV00214287
MALIYADDA ASSOCIATES	PV00233005
MALKA HOME & LAND DEVELOPERS	PV95042
MALKABANA ECO RESORTS	PB4920
MALKI ENTERTAINMENT	PV00279718
MALKI GEMS	PV00270370
MALKIE`S EXPORTS	PV13964
MALKO INTERNATIONAL	PV70924
MALKOHA	PV120479
MALKRIDA	PV61344
MALLAWA TRADING	PV83254
MALLI MARKETING	PV78220
MALLIKA AUTO SERVICES AND FILLING CENTRE	PV9733
MALLIKA BAKERY AND HOTEL	PV22395
