name	registration_no
MOUBIMA LANKA	PV79875
MOULANA - PATRALLIA DEVELOPMENT FOUNDATION	PV79441
MOULANA COSMETICS	PV00222100
MOULANA INTERNATIONAL TRAVELS & TOURS	PV110627
MOULANA SONS INTERNATIONAL	PV100768
MOULD & DIE MAKERS ASSOCIATION	GA2044
MOULDEX	PV21832
MOULDEX INDUSTRIES	PV65695
MOUN CEYLON	PV00287709
MOUNDHAN SHIPPING LANKA	PV107140
MOUNLAD COLOMBO AGENCY	PV91704
MOUNT  GRACE  COLLEGE	PV00213035
MOUNT AGNES	PV00259314
MOUNT ANGEL	PV130675
MOUNT BELLAN LEASURE	PV64206
MOUNT BREEZE MARKETING	PV00204544
MOUNT BREEZE PRIVATE CHALETS	PV00270500
MOUNT CARMEL ASHRAM	GA00256863
MOUNT CORPORATE SOLUTIONS	PV00209935
MOUNT COURT RESIDENCIES	PV00208921
MOUNT CREST RESORT DEVELOPMENT COMPANY	PV8115
MOUNT DAIRIES	PV125994
MOUNT DELIGHT RESORT	PV00244009
MOUNT DENTAL CARE	
MOUNT FIELD RESORT	PV99531
MOUNT FORT	PV118632
MOUNT GLOBAL HOLDINGS	PV00207452
MOUNT GLORY	PV97864
MOUNT GRACE COLLEGE GIRLS HOSTEL	PV00226826
MOUNT GRILL MOTELS	PV8759
MOUNT GROUP LANKA	PV105564
MOUNT HIRA INTERNATIONAL	PV72773
MOUNT HOMES LANKA	PV105590
MOUNT HORIZON	PV130832
MOUNT HOUSE HOLDINGS ENTERPRISES	PV00206611
MOUNT HOUSE MANUFACTURING COMPANY	PV00205063
MOUNT JEAN PLANTATIONS	PV18191
MOUNT K	PV00229094
MOUNT KING HOTEL	PV00204264
MOUNT LANKA IMPORT & EXPORT	PV00267002
MOUNT LANKA OFFICE AUTOMATION	PV00279651
MOUNT LAVINIA BEACH HOUSING	PV85390
MOUNT LAVINIA HOTEL	PV3217
MOUNT LAVINIA MANAGEMENT	PV00244692
MOUNT LAVINIA VILLAGE HOMES	PV8962
MOUNT LODGE	PV104628
MOUNT LOTUS HOSPITALS	PV00230848
MOUNT MARY INTERNATIONAL	PV00258910
MOUNT MEDICAL CONSULTATION	PV00212489
MOUNT OLIVES COLLEGE	
MOUNT PEARL	PV120260
MOUNT PEARL FISH	PV00274048
MOUNT PEARL PLANTATIONS	PV00200391
MOUNT PLEASANT INN	PV00271821
MOUNT PRINTERS	PV90407
MOUNT REGAL SECURITY	PV12226
MOUNT RIDGE AGRO	PV00266072
MOUNT ROYAL INDUSTRIES	PV2049
MOUNT RUSO	PV00282023
MOUNT SEA VIEW A	PV00290710
MOUNT SHIPPING AGENCIES	PV14556
MOUNT SPRING WATER	PV62909
MOUNT STEEL	PV123460
MOUNT TRANS SHIPPING	PV87442
MOUNT VALLEY HYDRO POWER	PV80843
MOUNT VERNON MINI HYDRO POWER PROJECT	PV21607
MOUNTA PRODUCT	PV78188
MOUNTAIN COLLEGE	PV00277252
MOUNTAIN DROP HOLDING	PV00214665
MOUNTAIN GATE CRUSHER COMPANY	PV125200
MOUNTAIN HAWK	PV2155
MOUNTAIN HAWK PACKAGING	PV18926
MOUNTAIN HOME REAL ESTATE	PV00234015
MOUNTAIN ICE FACTORY	PV88623
MOUNTAIN INDUSTRIES	NF45
MOUNTAIN INTERNATIONAL	PV00220583
MOUNTAIN LEISURE LANKA	PV117435
MOUNTAIN LION INVESTMENTS	PV00257562
MOUNTAIN LODGE ELLA	PV116896
MOUNTAIN MENG GLOBAL TRADING	PV00228535
MOUNTAIN OF SPICES CEYLON	PV00253874
MOUNTAIN RANGE HOLDINGS	PV9489
MOUNTAIN TOURS & TRAVELS	PV77867
MOUNTAIN TRADERS	PV20484
MOUNTAIN TRIMS	PV00231575
MOUNTAIN VIEW HOLIDAYS	PV2454
MOUNTBATTEN INVESTMENT	PV70169
MOUNTBATTEN LANDS	PV70168
MOUNTCASTLE SOLAR	PV00205361
MOUNTEL COMMUNICATIONS INTERNATIONAL B.V.	NF263
MOUNTGREEN MILKERS	PV00239086
MOUNTRAY TRADING	PV109310
MOUNTS EDGE REGENCY	PV116812
MOUNTSTON	PV00278190
MOUSE SOFT LANKA	PV89950
MOUTERRA HOLDINGS	PV00256562
MOUTERRA INVESTMENTS	PV00260429
MOUTH WATERING BRUNCHES ACADEMY	PV00276631
