name	registration_no
NEL EXCESS EIGHT	PB00225692
NEL EXCESS ELEVEN	PB00225695
NEL EXCESS NINE	PB00225693
NEL EXCESS SEVEN	PB00225691
NEL EXCESS SIX	PB00225688
NEL EXCESS TEN	PB00225694
NEL MANGALA ELIYA	PB00225699
NEL OPERATIONAL FOUR	PB00225673
NEL OPERATIONAL ONE	PB00217942
NEL OPERATIONAL TWO	PB00225635
NELA DE ZOYSA DESIGN CORPORATION	PV7146
NELANKA HOLDING	PV108448
NELCO FOODS PRODUCT	PV8279
NELCO LANKA	PV20024
NELEEZLAND ENTERTAINMENT	PV00284656
NELEEZLAND RESTAURANT SYSTEM	PV00283645
NELITHRA EVENTS	PV00232801
NELITO	PV00273791
NELLA	PV00245088
NELLCHEM ASSOCIATES	PV14645
NELLI KAELE	PV83505
NELLIKULAMA AGRO INDUSTRIES	PV120579
NELLUMALE HYDRO POWER	PV76550
NELLYA HOLDINGS	PV00247709
NELNA BREEDERS	PV5082
NELNA IMPEX	PV89452
NELNA SECURITY SERVICES	PV61413
NELPA AUTO SPARES	PV2460
NELSHAN INTERNATIONAL	PV00246981
NELSON HOLDINGS HORANA	PV114393
NELSON HOLDINGS KALUTARA	PV00272258
NELSON MANPOWER SUPPLIERS	PV61263
NELSON MOTOR SPARES	PV10550
NELSONS RETAIL	PV99463
NELSVIA	PV00241274
NELT HOLDINGS	
NELUGOLLA HYDRO	PV78808
NELUKA SUPER MARKET	PV65114
NELUM & SANGEETH ENTERPRISES	PV100964
NELUM AGRO	PV00269926
NELUM ARANA	PV00264575
NELUM CARE LANKA	PV00224761
NELUM CREDIT	PV113053
NELUM FASHIONS (PRIVATE)	PV1296
NELUM FASHIONS	PV83528
NELUM HOME AND CONSTRUCTION	PV100009
NELUM INTERNATIONAL	PV00266331
NELUM INTERNATIONAL INDUSTRIAL	PV106416
NELUM KABANEKA	PV00248403
NELUM LANKA ENTERPRISES	PV00235977
NELUM LANKA IMPORTS	PV00292213
NELUM MATERIALS	
NELUM TEXTILES	PV87530
NELUM VILLA	PV83087
NELUM WELLNESS AND HEALTH CARE CENTER	PV00216542
NELUMBA BIOLOGICAL	PV121017
NELUMBO NATURA COSMETICS	PV00225657
NELUMKOLE TRADITIONAL FOODS	PV117586
NELUMKULAMA GROUP	PV71635
NELUMMAL	PV3488
NELUMYAYA FOUNDATION	GA3336
NELUNI ENTERPRISES	PV73944
NELUSHA TRADING	
NELUWA CASCADE HYDROPOWER	PV5150
NELUWA LELWALA TEA FACTORY	PV74052
NELUWA NATURALS	PV00292438
NELUWA UPPER HYDRO POWER	PV3893
NELU`S ADVERTISING SERVICES	PV15158
NELU`S GLOBAL	PV79473
NELZA AGRO	PV00268864
