name	registration_no
NICE & EASY FINANCE & INVESTMENT	PV75268
NICE .LK	PV00219562
NICE DESIGN	PV79091
NICE JOURNEY CAB SERVICES	PV00204845
NICE ONE	PV83554
NICE RICE PROCESSING	PV87403
NICE TIME	PV80276
NICELUX	PV77520
NICH PHARMA	PV108890
NICHE CAR LANKA	PV65347
NICHE CORPORATE COMMUNICATIONS	PV91045
NICHELABS	PV00236489
NICHI FISHERY	PV89066
NICHI LAN TERA JAPAN	
NICHIREN SHOSHU ASSOCIATION	GA00269639
NICHIREN SHU BUDDHIST ASSOCIATION COLOMBO	GA00203762
NICHITH	PV9443
NICHITO TECHNOLOGY	PV00208720
NICHOLAS COTTAGE	PV00265202
NICHOLAS MYRE AND WEISMAN	PV60347
NICHRA TOURS AND TRAVELS	PV3600
NICK CONSTRUCTION AND SUPPLIER	PV00250715
NICK NIKE TRADING	PV89302
NICKEL RED SOLUTIONS	PV00242973
NICKI ENGINEERING SERVICES	PV17509
NICKLAASHAN MANPOWER	
NICKO LANKA RISEN	PV00265354
NICNAC	PV122674
NICO BATTERY MANUFACTURERS	PB762
NICO EXPLORERS	PV105557
NICO GLOBAL TRADING	PV00213256
NICO INTERNATIONAL	PV126434
NICO LEGAL	PV00252524
NICO RESTAURANTS	PV00205777
NICODAN CONSULTANCY	PV82898
NICOMAR TRAVELS & TOURS	PV83038
NICOMED PHARMA	PV00232982
NICOMEDICS	PV00232737
NICON LANKA TRADING	PV84816
NICON RADIATOR ENGINEERS	PV95082
NICORN BAKERS AND BOMBAY SWEETS	PV90266
NICOSIA INVESTMENTS	PV13541
NICOVABY INVESTMENT	PV00239738
NICS	PV9628
