name	registration_no
NIN B G S ENTERPRISES	PV131765
NIN BPO	PV00272361
NINA FOOD & BEVERAGES	PV63334
NINA HOTELS	PV00277922
NINA LANKA CONSTRUCTION TECHNOLOGIES	PV120223
NINA VILLA	PV00251955
NINCO INTERNATIONAL	PV18949
NINDANA CEYLON CINNAMON	PV00230875
NINDEV ASIA	PV78224
NINDHA	PV00210024
NINE ARCH	PV00252382
NINE ARCH HOLDINGS	PV00278155
NINE ARCH TECHNOLOGIES	PV00229465
NINE ARCHE BROTHERS	PV00234413
NINE ELEVEN HERBAL SALOON & FOOT COMFORT	PV00210878
NINE FOLD AGRI COMPOST LANKA	PV96930
NINE GROUP INTERNATIONAL	PV00243249
NINE HERMITS	PV00256588
NINE HERMITS GAMES	PV00290922
NINE M	PV00275525
NINE NETWORKS	PV84123
NINE NINE	PV11298
NINE ORGANIC	PV00282245
NINE POINTS,  CEYLON	PV00233009
NINE PUBLISHING	PV102181
NINE SENSE	PV00234209
NINE WEST MARKETING	PV00205359
NINE WISHES	PV00277013
NINE ZERO SECURITY INVESTIGATION	PV00245202
NINEARCH SOLUTIONS	PV00279027
NINECAP CORPORATE SOLUTIONS	PV74225
NINEDOTZ SOLUTIONS	PV00211043
NINEHEARTS	PV19493
NINEHEARTS COLOR LABS	PV20751
NINEHEARTS KANDY	PV19488
NINEHEARTS SCREEN TECHNOLOGIES	PV19494
NINEPOINTS CIRCLE	PV00233777
NINETEEN 90 INTERNATIONAL	PV00201115
NINETY EAST HOLDINGS	PV113400
NINETY NINE COMMODTIES	PV127060
NINEWELLS HOSPITAL	PV2731
NINFONET	PV00208848
NINGBO CAMPUS	PB4517
NINGIBO MARKETING COMPANY	PV100866
NINI EDUCATION	PV00280063
NINI TRADING	PV00237445
NINO DIGITAL HOUSE	PV00241283
NINO HORIZON LANKA	PV112903
NINRO ENGINEERING	PV00202204
NINTY NINE ENVIRONMENTAL	PV83422
NINUK SERVICES	PV126239
