name	registration_no
RAJ BROTHERS	PV00213112
RAJ CHEM LANKA	PV00207329
RAJ CORPORATES	PV00217223
RAJ CREATION	PV00260044
RAJ DIAMONDS	PV18593
RAJ DRUG STORES	PV00230665
RAJ ENTERPRISES	PV00287339
RAJ FOOD SUPPLIERS	PV00252424
RAJ FRAGRANCES	
RAJ HOTELS COMPANY	PV16461
RAJ INTERNATIONAL	
RAJ INTERNATIONAL AGENCY	PV21716
RAJ MEDICAL	PV64071
RAJ PHARMACY	PV106063
RAJ SING GLASS COMPANY	PV6012
RAJ TOWER COLOMBO RESIDENCIES	PV00251736
RAJ TRAVELS AND TOURS	PV20302
RAJ VILLAS	PV67294
RAJA BUSINESS HOLDINGS	PV00240994
RAJA ELA ESTATE	PV00254882
RAJA ELA PLANTATIONS	PV67327
RAJA EXPORTERS 2	PV120343
RAJA FILLING STATION	PV00272066
RAJA GEMS & MINING	PV00214289
RAJA GRAMENTS	PV19212
RAJA HOLDINGS CAPITAL	PV00251947
RAJA HOLDINGS GLOBAL	PV108046
RAJA JEWELLERS	PV12199
RAJA RATA BUILDERS	PV00226720
RAJA RESTAAURANT	PV5389
RAJA SEWANA HOMES & CONSTRUCTIONS	PV00220673
RAJA T V	PV00208410
RAJA TRADE CENTER	PV00225813
RAJAALIYA INVESTMENT HOLDINGS	PV129228
RAJAAN MOTORS INTERNATIONAL	PV00243416
RAJABDEEN AND SONS	PV12562
RAJABHISHEKA	
RAJADHANI	PV00295595
RAJADHANI CONCRETE PRODUCTS	PV00226668
RAJADHANI ORGANIC	PV00242166
RAJAGALA AGRO VILLAGE	PV00275027
RAJAGALA RESIDENCE	PV89580
RAJAGANTH	PV00299605
RAJAGEDARA	PV60281
RAJAGEDARA GROUP	PV79971
RAJAGIRI HOLDINGS	PV100715
RAJAGIRIYA MOTORS AND SERVICES	PV17927
RAJAGIRIYA TOURS & TRANSPORT	PV61425
RAJAH FISHING GOOODS	PV74737
RAJAH POLY RECYCLING	PV00222432
RAJAKADALUWA BEER RETAILERS	PV100897
RAJAKARUNA AVIATION	PV00226305
RAJAKARUNA ENTERPRISES	PV00234228
RAJAKARUNA INTERNATIONAL	PV00234061
RAJAKARUNA MINERAL SPRINGS	PV79564
RAJAKARUNA PLANTATION MANAGEMENT	PV18338
RAJAKEDELLA	PV113586
RAJAKUMARI CONSTRUCTIONS	PV70468
RAJALAKSHMI INTERNATIONAL	PV82551
RAJALAKSHMI LANKA	PV80086
RAJALI TRADERS	PV00246500
RAJAMALAY FARMS	PV104225
RAJAMUTHU JEWELLERY & ENTERPRISES	PV00228488
RAJAMUTHU TRADING	PV78858
RAJAN	PV63840
RAJAN UMAYAL	PV68901
RAJANA REACH HOTEL	PV93621
RAJANAWA HERITAGE RESORT	PV95029
RAJANGANA EXPORT & IMPORT	PV00297294
RAJANI LANKA INTERNATIONAL	PV00227066
RAJANIMA CRAFT	PV63541
RAJAPAKSA AGENCIES	PV19303
RAJAPAKSA CONSTRUCTION	PV18320
RAJAPAKSA ELECTRICALS	PV15753
RAJAPAKSA MANAGEMENT AND CAPITAL HOLDINGS	PV00226401
RAJAPAKSA PLANTATIONS	PV86547
