name	registration_no
RAW GATES LANKA	PV113191
RAW LANKA	PV94909
RAW PHOTOGRAPHY	PV00239157
RAW TREE EQUITY	PV00210995
RAWA RESEARCH & DEVELOPMENT	
RAWAAT INTERNATIONAL	PV79617
RAWAAT LANKA	PV89685
RAWAN CEYLON	
RAWAN HOLDINGS INTERNATIONAL	PV00264497
RAWAN INTERNATIONAL	PV129694
RAWANA AYURVEDIC PRODUCTS	PV00251750
RAWANA ENERGY SOLUTIONS	PV00298774
RAWANA FABRICALS	PV101488
RAWANA LANKA HERBALS	PV00226316
RAWANA MULTI MEDIA	PV75081
RAWANA VIEW ELLA	PV00282943
RAWANACEYLON IMMIGRATION ENTREPRENEURS	PV00242485
RAWANAKANDA HYDRO POWER	PV80952
RAWANYA'S	PV100266
RAWAR ENGINEERING	PV00269071
RAWARDS INTERNATIONAL	PV66191
RAWELS ALLIANCE	PV101018
RAWLICOUS	
RAWMAX TRADING	PV125519
RAWO DESIGN STUDIO	PV00239905
