name	registration_no
RIK AQUA	PV00216744
RIK ENTERPRISES	PV00209139
RIK GLOBAL TRADING	PV00206835
RIK MEDI INTERNATIONAL	PV120619
RIKA TRADING	PV00285582
RIKA TRANSPORT SERVICE	PV00221967
RIKASA INTERNATIONAL	PV609
RIKAZ GEMS	PV00211382
RIKILI AGRO	PV00221595
RIKILLA	PV00260413
RIKODA INTERNATIONAL	PV00279395
RIKOLI GROUP OF COMPANIES	PV64600
RIKON ENTERPRISES	PV109697
RIKORA HOLDING	PV00200982
RIKOTA HOLDINGS	PV2227
RIKTHA REACH	PV00262410
RIKTHA SOLUTIONS	PV00217519
RIKZA GEM & JEWELLS	PV00259763
