name	registration_no
RIVAGRO LANKA	PV00211391
RIVEGA AUTO HOUSE	PV104670
RIVEKA SERVICES	PV119582
RIVENDELL HOTEL	PV105000
RIVENDELL RETREAT DICKOYA	PV131588
RIVENGO TRAVELS	PV00260299
RIVER ARC BOLGODA	PV00281792
RIVER BREED APPAREL	PV117305
RIVER COTTAGE 1 1 1	PV00271852
RIVER CREDIT	PV114609
RIVER DALE HOTEL	PV16211
RIVER EDGE ECO FARM & VILLA	PV00284845
RIVER FIELD ESTATE	PV121409
RIVER ISLANDS RESORT	PV00239897
RIVER LANKA TOURS	
RIVER MANOR	PV21854
RIVER MOON BEACH HOTEL	PV121420
RIVER OF NATION	PV00233837
RIVER SAFARI LANKA	PV129538
RIVER SIDE ADVENTURE CLUB	PV2142
RIVER SIDE ICE COMPANY	PV13466
RIVER VIEW HOTEL	PV21196
RIVER VIEW HOTEL BENTOTA	PV78382
RIVER VIEW PALM HOTEL	PV78177
RIVER VIEW RESTAURANT	PV20913
RIVER WHITE GRANITE AND MARBLES	PV00233266
RIVERAIN EXPORTS	PV00231387
RIVERBANK LOGISTICS	PV68356
RIVERBANK PROPERTIES	PV224
RIVERBANK PROPERTIES	PV2244
RIVERBANK TRADING	PV4575
RIVERBANK WAREHOUSING	PV6853
RIVERDALE HOLDINGS	PV00219798
RIVERDALE HOTEL KANDY	
RIVERDALE PARK	PV131878
RIVERINA RESORTS	PV87378
RIVERSTON GRAND COTTAGE	
RIVERSTON LANKA	PV00232781
RIVERSTON PROPERTY HOLDINGS	PV00202293
RIVERSTONE ESTATES	PV00237978
RIVERSUN	PV00264102
RIVERSUN AGRO	PV00271551
RIVERSUN SL	PV00265232
RIVERVIEW INNOVATION LABS	PV113011
RIVER`S EDGE HOTEL AND SPA	PV83924
RIVETA MOTORS	PV68602
RIVI AGENCIES	PV20202
RIVI HYDRO POWER	PV73037
RIVI KIRANA S L	PV00217488
RIVI KIRANA SERVICES	PV63947
RIVI RO LANKA ENTERPRISES	PV00244941
RIVI VIDU SOLAR POWER	PV101399
RIVI-RAS HOTELS	PV7137
RIVIDINU HOLDINGS	PV118071
RIVIERA EASTERN ENTERPRISES	PV00225298
RIVIERA ENGINEERING	PV00207693
RIVIERA GROUP	PV00289355
RIVIERA HOLDINGS	PV91321
RIVIERA HOMES	PV00248903
RIVIERA INTERNATIONAL	PV131739
RIVIERA POWER GENERATING	PV115506
RIVIERA PROJECTS	PV00208400
RIVIERA VENTURES	PV130600
RIVIK TRADING COMPANY	PV00225921
RIVIKSEL	PV976
RIVIL INTERNATIONAL	PV79862
RIVILA SOLAR	PV131278
RIVILAKA TRADERS	PV00267670
RIVILAN INVESTMENTS	PV00265819
RIVILCO	PV00223354
RIVIN NATURAL PRODUCTS	PV00241732
RIVINDU INTERNATIONAL	PV11936
RIVINI PLANTATIONS	PV00255494
RIVINMO SECURITY SERVICES AND INVESTIGATIONS	PV117150
RIVINRE EDUCATION & ADVENTURE	PV00219760
RIVINTA	PV105872
RIVIRA BUSINESSES PUBLICATION	PV61126
RIVIRA EXPRESS MEDIA	PV126801
RIVIRA HOMES	PV65110
RIVIRA MANAGEMENT CONSULTANTS	PV129053
RIVIRA MEDIA CORPORATION	PV12302
RIVIRA RUHUNU LANKA PRODUCTS	PV00246604
RIVIRU	PV79547
RIVISANDA CONSTRUCTION	PV18992
RIVISETH  LIFECARE SOLUTIONS	PV00218338
RIVO  C HOLDINGS	PV00228984
RIVO AQUA LANKA	PV00273734
RIVO LANKA WATERS	PV00273735
RIVOCHEM INTERNATIONAL	PV121540
RIVODA CONSTRUCTION	PV108984
RIVOGA	PV128540
RIVOK SURVEILLANCES & INVESTIGATION	PV00228030
RIVOLKA ENERGY	PV00205642
RIVOMARK INTERNATIONAL	PV126017
RIVOMEC AQUARIUM INTERNATIONAL	PV00246451
RIVOMEC ENGINEERING SOLUTIONS	PV115383
RIVOMED HOLDINGS	PV117548
RIVON COLOUR LAB AND STUDIO	PV00237860
RIVONTECH 	PV90690
RIVONVE CREATIONS OVERSEAS	PV116397
RIVONVE GRAPHIC SOLUTIONS COMPANY	PV109576
RIVORA TRADING	PV00217020
RIVORICH CREDIT	PV00213119
