name	registration_no
ROA ENGINEERING	PV00286994
ROAD AND TRACK AUTO MOBILES	PV8118
ROAD BUILDERS NEW TECHNOLOGY	PV92822
ROAD CAR	PV65952
ROAD HAULAGE ASSOCIATION (CEY)	PBG4
ROAD RUN CABS	PV00229630
ROAD RUNNER INDUSTRIES	PV00232710
ROAD SIDE ASSISTANCE LANKA	PV00213242
ROAD STAR	PV81011
ROAD TO KOREAN ACADEMY	PV00271348
ROAD WAY LANKA HOLDINGS	PV00209849
ROADEX TRANSPORT SERVICES	PV00259786
ROADFOOD CHECKPOST	PV00262250
ROADGRIP INDUSTRIES	PV106347
ROADMASTERS	PV70199
ROADS LESS TRAVELLED LANKA	PV107860
ROADSEAL	PV62541
ROADSMART LANKA	PV00209225
ROADSTAR MOTOR WORKS	PV00203819
ROADSTER STUDIOS	PV00212784
ROADSTREAK SECURITY SERVICES & INVESTIGATION	PV97765
ROADWINGS KANDY	PV100193
ROADWINGS MOTORS	PV99593
ROADWORTHINESS APPRAISAL INSTITUTE OF LANKA	PV127172
ROAM LANKA	PV129266
ROAMING NOMADS	PV00288144
ROAMING ROUTES	PV00297712
ROAR 3P	PV00257453
ROAR AD X	PV00267864
ROAR ADVERTISING 	PV00219812
ROAR CLOTHING	PV00238565
ROAR DIGITAL	PV106349
ROAR ENTERTAINMENT	PV00249937
ROAR LINK	PV00256448
ROAR NETWORK AND SOLUTION	PV00210308
ROAR SECURITY SERVICES & INVESTIGATIONS	PV115751
ROAR-BAANA	PV131819
ROARMO CONSULTANCY	PV00209171
ROASHANEE	PV103428
ROAVER	PV00217086
ROAYALLY REST	PV81395
