name	registration_no
SUHA GEMS	
SUHADA AGRO	PV68941
SUHADA BAKERS	PV87347
SUHADA COMMUNITY AND ECO DEVELOPMENT FOUNDATION	GA3228
SUHADA ENGINEERING	PV00221278
SUHADA ENTERPRISES	PV00289745
SUHADA ENTERPRISES ENGINEERING	PV00227467
SUHADA FARMS	PV5839
SUHADA GAS DISTRIBUTORS	PV67549
SUHADA HOLDINGS	PV64218
SUHADA HOSPITALS	PV20292
SUHADA IMPEX	PV76010
SUHADA INVESTMENTS	PV8756
SUHADA LANKA HOLDINGS	PV00230935
SUHADA LANKA INVESTMENT	PV116966
SUHADA NIVESA	PV104489
SUHADA PHARMACY	PV20207
SUHADALANKA MERCHANTS	PV00241133
SUHADHA BROTHERS	
SUHADHA POWER TECHNOLOGIES	PV00245468
SUHADI AGENCIES	PV60990
SUHAN IMPEX	PV00266165
SUHANDANA TRANSPORT COMPANY	PV90759
SUHARA GLOBLE EDUCATIONAL	PV00289438
SUHASVIN ENGINEERING	PV00202187
SUHELA INTERNATIONAL	PV115781
SUHFS	PV00209473
SUHITOMI	PV00209010
SUHURU	PV00201342
