name	registration_no
TEC - MARK INTERNATIONAL	PV115780
TEC 4 CEYLON	PV00264769
TEC CITY INTERNATIONAL	PV89779
TEC GATE TECHNOLOGIES	PV5746
TEC PACK INDUSTRIES	PV8185
TEC REGION	PV86353
TEC SRI LANKA	PV10964
TEC SRI LANKA WORLD WIDE	PV20047
TEC VISION INTERNATIONAL TRAINING COLLEGE	PV67935
TEC WORKSHOP INTERIORS	PV00287923
TECBIT LANKA	PV00225903
TECCIANCE	PV00273656
TECCRAFTY	PV00209555
TECEZE JAFFNA	PV00279492
TECGATE ENGINEERING AND AGRI BUSINESS MANAGMENT	PV00202299
TECGATE INTERNATIONAL	PV12303
TECGAZE	PV00244169
TECGEN LANKA	PV00229839
TECH - KNOW I T INTERNATIONAL	PV97046
TECH - LONG CEYLON	PV111772
TECH 2 GO	PV00228289
TECH 360 TECHNOLOGIES	PV00252087
TECH 9 INTERNATIONAL	PV71345
TECH A5	PV00287228
TECH AND TRAVEL LANKA	PV116820
TECH ASSEMBLY	PV00223604
TECH ASSURED HOLDINGS	PV121913
TECH BLENDER LABS	PV00216315
TECH BOSS HOLDINGS LANKA	PV00215572
TECH BRANDS	PV00283914
TECH BROZ	PV00283903
TECH BUREAU	PV00261429
TECH CARE INDUSTRIAL SOLUTIONS	PV77766
TECH CENTURIONS	PV109843
TECH CEYLON SOCIAL VENTURES	GL2474
TECH CO. LANKA	
TECH CORP SOLUTIONS	PV117897
TECH DIGIT	PV91170
TECH DOT	PV00242207
TECH ESSENTIALS	PV00270053
TECH EYRIE	PV00272398
TECH FAB INDUSTRIES	PV127500
TECH FOODLK	PV00290555
TECH FOR GOOD	PV93487
TECH FUTUREEISE	PV68571
TECH FUZED	PV00235452
TECH GALLERY	PV00266713
TECH GALORE	PV00288133
TECH GATE SOLUTIONS	PV00285563
TECH GIANT	PV00250122
TECH GROUP ENGINEERRING	PV63650
TECH HOUSE INTERNATIONAL	PV00291485
TECH HUB IT SOLUTIONS	PV00265266
TECH I SYSTEMS & SOLUTIONS	PV00212228
TECH ICONS TECHNOLOGIES	PV94656
TECH INSIGHTS	PV00253629
TECH KNOW ENGINEERING	PV2518
TECH LEAF.LK	PV00236047
TECH LINE GLOBAL	PV00286432
TECH LOOP	PV00231284
TECH LYNX	PV00282174
TECH MART ENGINEERING	PV00238106
TECH MASTERS AUTOMOBILE	PV00266965
TECH MEE DIGITAL	PV00259447
TECH NET AUTO WORLD	PV81088
TECH ONE GLOBAL LANKA	PV70697
TECH PACIFIC (INDIA) EXPORTS PRIVATE  (LI)	NF551
TECH PACIFIC LANKA	PV62855
TECH PACK SOLUTIONS	PV00246789
TECH PROME MARKETING	PV71730
TECH SERVE ACCESSORIES	PV84141
TECH SERVE AGRO PRODUCTS	PV84139
TECH SERVE COATINGS	PV84260
TECH SERVE LANKA COMPANY	PV8732
TECH SMART TRADING	PV00225463
TECH SOLAR SOLUTIONS LANKA	PV129424
TECH SOLUTION NETWORK	PV76725
TECH SOLUTIONS CEYLON	PV88129
TECH STACK HOLDINGS	PV00247223
TECH STORE	PV00287364
TECH TRADE	PV60469
TECH VALLEY SOLUTIONS	PV00216041
TECH VENTURES	PV15130
TECH VISION CONSULTANCY	PV63129
TECH WALL	PV00256432
TECH WAY AGRO HOLDINGS	PV00274185
TECH WAY ENGINEERING	PV126829
TECH WEBSTERS	PV00238115
TECH WORLD I T  SOLUTION 	PV00207684
TECH-WATERS	PV18592
TECH27	PV00268815
TECHADVISOR	PV99860
TECHALLY	PV00213496
TECHANDRA SOLUTIONS	PV00235130
TECHART INTERNATIONAL	PV13945
TECHART SL	
TECHCD STUDIOS	PV00280642
TECHCERT	GA3238
TECHCESS BUSINESS SOLUTIONS	PV00229663
TECHCHUSETTS	PV00212751
TECHCON TRADING AND CO	PV00287975
TECHCOUCH	
TECHCUBE GLOBAL	PV110876
TECHDATA SOLUTIONS	PV68067
TECHED - LANKA	PV101739
TECHEDGE INTERNATIONAL	PV00207900
TECHFACTOR	PV00201267
TECHFI GLOBAL SOLUTIONS	PV00236009
TECHFICTIONS	PV112821
TECHFIELD ASIA	PV85164
TECHFIN B P O	PV00242570
TECHFIX SOLUTIONS	PV00232355
TECHFORCE I T	PV98707
TECHFRONT	PV00205804
TECHGENIX SOLUTIONS	PV00242536
TECHGLOBAL LANKA	
TECHGRAIN	PV00285142
TECHI TRADING	PV130732
TECHILA SOFTWARE	PV00229745
TECHINCGLOBAL CONSULTANCY	PV00201078
TECHINNOVATORS	PV18308
TECHKITEZ	PV104039
TECHLAWE	PV111476
TECHLEAD INTERNATIONAL	PV63720
TECHLINK TECHNOLOGY CAMPUS	PV00224850
TECHLION S L	PV00274720
TECHLOG LANKA	PV102059
TECHLOGIC INTERNATIONAL	PV00258624
TECHLOOT	PV00268763
TECHMA COMPUTERS	PV00204968
TECHMA ENGINEERING	PV104909
TECHMA LANKA	PV85929
TECHMA MACHINERY	PV129770
TECHMATE DIGITAL EDUCATION INSTITUTE	PV00226458
TECHMO HOLDINGS	PV00288732
TECHMORE SOLUTIONS	PV120339
TECHNA LANKA SOLAR	PV117297
TECHNE DRILL	PV75436
TECHNEGA	PV00228801
TECHNELL HOLDINGS	PV14289
TECHNEST	PV00225816
TECHNET VIRTUAL ACADEMY	PV00222682
TECHNETIC AUTOMOTIVE	PV00256274
TECHNEWPATH	PV98773
TECHNEXT CONSULTANTS	PV00276067
TECHNI IMAGING	PV131066
TECHNI SERVICES	PV131035
TECHNIA MOBILITY SOLUTIONS	PV103371
TECHNIALABS S L	PV109983
TECHNIC FIRST INTERNATIONAL TRAINING COLLEGE	PV73244
TECHNICAL AND TRADING SERVICES	PV20571
TECHNICAL ASSISTANCE BUREAU	
TECHNICAL CREATIVES APAC	PV00231985
TECHNICAL FIRE PROTECTION AND ENGINEERING SERVICES	PV5064
TECHNICAL SERVICES PANADURA	PV951
TECHNICAL SOFTWARE CONSULTANTS S.D.	PV19059
TECHNICORUM ASIA	PV00254581
TECHNICS.LK	PV00260497
TECHNIP COCO PRODUCTS	PV00258976
TECHNIP ENGINEERING COMPANY	PV7733
TECHNIP TRAILERS	PV128249
TECHNIQUE INTERNATIONAL	PV10285
TECHNIQUE INTERNATIONAL HAIRDRESSING AND BEAUTY PRODUCTS AND EQUIPMENT	PV15382
TECHNITY COMPUTER SOLUTIONS	PV00223905
TECHNIUM	PV90406
TECHNIX TRADING	PV75031
TECHNO	PV14880
TECHNO ACTION	GL27
TECHNO BIZ	PV64544
TECHNO COIR EXPORTS LANKA	PV00205373
TECHNO CONSTRUCTION DEVELOPMENT	PV80262
TECHNO COOL ENGINEERING	PV72916
TECHNO DESIGN LANKA	PV00238048
TECHNO DESIGN MANUFACTURING	PV00205043
