name	registration_no
WESCA CONSTRUCTORS & ENGINEERS	PV99710
WESCO ENGINEERS	PV12919
WESCO HOMES	PV109379
WESCO LOGISTICS	PV00345056
WESCO TEA COMPANY	PV00223507
WESCON LANKA	PV121895
WESCOTEC	PV00250188
WESELL MARKETING SOLUTIONS	PV00304679
WESETTLE	PV00306019
WESGO ENTERPRISE	PV00309093
WESKO AGRITECH	PV00243121
WESKO INVESTMENT	PV9045
WESKO TECHNOLOGIES	PV12614
WESLEYAN INTERNATIONAL	PV14239
WESMINISTER COLLEGE OF BUSINESS AND TECHNOLOGY	PV70799
WESMO	PV2116
WESMO UNIQUE LANKA	PV124308
WESMOS AGENCIES	PV10234
WESONS HOLDINGS	PV00214780
WESOURCE GLOBAL	PV00290358
WESPAC	PV11657
WESPOINT ADVENTURE	PV128424
WESPRO TRAVELS	PV86503
WESRO FLEX	PV00218862
WESRONE	PV6427
WESSEX HOLDINGS	PV00285363
WESSWOOD BUSINESS COLLEGE	PV75004
WESSWOOD INTERNATIONAL	PV65947
WEST - WAY ENTERPRISES	PV18397
WEST 1 U.K	PV107394
WEST AGRO PROPERTY DEVELOPERS	PV16818
WEST AMICUS CONSULTANCY	PV00215237
WEST ARCH ASSOCIATES	PV83788
WEST ASIA CEYLON	PV00262204
WEST ASIA INTERNATIONAL	PV9898
WEST ASIA INVESTMENTS	PV00201873
WEST ASIA TRADING COMPANY	PV70276
WEST AUTO TRADING	PV00278365
WEST BROOK INTERNATIONAL	PV00265852
WEST BROW ENTERPRISES	PV94603
WEST CASTINGS ENGINEERING	PV00262535
WEST CEYLON CAPITALS	PV00342009
WEST CHARLEY MOUNT	PV00228079
WEST COAST	PV00274406
WEST COAST ATHLETICS	PV00278333
WEST COAST CAPITAL	PV115450
WEST COAST CONSTRUCTION	PV00201471
WEST COAST DIVING ACADEMY	PV00208545
WEST COAST ENERGY	PV00228447
WEST COAST ENGINEERING & HAULAGE	PV00335356
WEST COAST ENGINEERING	PV128078
WEST COAST INTERNATIONAL	PV00257865
WEST COAST LANKA	PV15145
WEST COAST LIFE DESIGN	PV117515
WEST COAST MARINE TOURS & SEAFOOD	PV00290501
WEST COAST PLANTATIONS & EXPORTERS	PV00235504
WEST COAST POWER	PV21317
WEST COAST SCUBA ACADEMY	PV115933
WEST COAST SHIPPING AND TRADING	PV75594
WEST COAST TATTOO STUDIO	PV00297411
WEST COAST TRAVEL	PV63287
WEST COAST VILLA	PV126279
WEST CONNECTIONS GLOBAL	PV00223998
WEST CONNECTIONS LANKA	PV115692
WEST COST TRADING	PV00250871
WEST CYCLONE ADVERTISING	PV4169
WEST EAST SURVEY CONSULTANCY	PV87534
WEST EASTERN EDUCATION	PV00219864
WEST EASTERN INFORMATION TECHNOLOGIES	PV00261215
WEST EASTERN TRAVELS AND TOURS	PV00215036
WEST END HOLDINGS	PV19123
WEST END HOLIDAY HOMES	PV00310587
WEST END HOLIDAY RESORTS	PV104115
WEST END IMPORT AND EXPORT	
WEST END MARKETING	PV00227640
WEST END MOTORS	PV19358
WEST EXPERTS	PV00233143
WEST FIELD OASIS	PV00328365
WEST GATE LANKA	PV113957
WEST HILL END DEVELOPMENT	PV81353
WEST ICE LANKA	PV122253
WEST IMMIGRATION CONSULTANTS	PV00240967
WEST INTERNATIONAL	PV14594
WEST ISLAND	PV00221735
WEST LANKA IMPEX	
WEST LINK CONSULTANTS	PV19861
WEST LINK ENTERPRISE	PV60656
WEST LONDON COLLEGE OF EDUCATION	PV00203524
WEST LONDON INTERNATIONAL INSTITUTE	PV120927
WEST MINISTER LANKA	PV76391
WEST N ASIA	PV73384
WEST OCEAN SEAFOOD	PV00223464
WEST OPTICS	PV00216615
WEST PACK INTERNATIONAL	PV113961
WEST PARADISE KALPITIYA	PV70527
WEST POINT (INTERNATIONAL)	PV4519
WEST PORT	PV00254143
WEST POWER JAPAN	PV00209265
WEST SEA FISHERIES	PV00304899
WEST STAR AVIATION	PV62897
WEST VENTURES GLOBAL	PV00239872
WEST VENTURES LANKA	PV114745
WEST WAY EDUCATION CONSULTANCY	PV00285452
WEST WAY EMPLOYMENT	PV00256838
WEST WIND CLOTHING	PV20250
WEST WIND ENERGY	PV105402
WEST WIND HOLDINGS	PV110754
WEST WIND MAN POWER	PV00343636
WEST WING CEYLON	PV00277538
WEST WING COLOMBO	PV00225184
WEST WING TRAVELS	PV63684
WEST WOOD INTERIORS & CONSTRUCTION SERVICES	PV13554
WEST WORLD G T	PV00241596
WESTAROUND INVESTMENT HOLDINGS	PV73540
WESTART VENTURES	PV99519
WESTBERG INTERNATIONAL	PV00262118
WESTBOURNE ENTERPRISES	PV00217919
WESTBURY BAKES	PV00343252
WESTBURY INTERNATIONAL	PV117923
WESTBURY PROPERTY	PV109136
WESTBURY SUITES	PV88932
WESTCAL INTERNATIONAL	PV00259207
WESTCLIFF VERSATECH	PV00307096
WESTCO	PV00264521
WESTCOT TRADING	PV93782
WESTECH SERVICE	PV00329667
WESTECHSOLAR	PV00223367
WESTEL INTERNATIONAL	PV130614
WESTEND HOTELS	PV11464
