name	registration_no
YAAL AALAI	PV00236139
YAAL AQUA	PV125929
YAAL KATTU VALU	PV87640
YAAL MOTORS	PV00235948
YAAL RENT & RECOVERY	PV00269409
YAAL VAKEESAN	
YAAL VAYUPAHAVAN	PV119800
YAALA LABS	PV127665
YAALDEVI & FRIENDS	PV72039
YAALDEVI PRODUCTS	PV00247684
YAAMIR BUILDING MATERIALS  TRADING	PV00257114
YAANNI HEALTHCARE	PV00206814
YAARA ENTERPRISES	PV00229183
YAARA MOTORS	PV00227061
YAARA TRADING & MARKETING	PV00266082
YAARA WORLD	PV00279059
YAARL FOODS	PV00250727
YAARL MEDIA CLUB	PV97022
YAARL PRODUCTS	PV00279057
YAARL REISEN	PV121810
YAARLTEL DISTRIBUTORS	PV94575
YAAS GLOBAL	PV00207923
YAASH LANKA	PV71405
YAASHA	PV00279604
YAASHWA INTERNATIONAL	PV00241490
YAATHU TEA	PV00252791
YAATHVIKAA GREEN PICK	PV00286919
YAAY CEYLON	PV00268016
YAAYA STUDIO	PV00212136
YAAZ LANKA ENTERPRISES	PV00212682
YAAZ LANKA HOLDINGS	PV00279150
YAAZ MOON LANKA ENTERPRISES	PV00217271
YAAZ RICE PROCESSING CENTRE	PV00237540
YAAZZ TECHNOLOGIES	PV00218350
