name	registration_no
YES 4 LANKA	PV95626
YES ACCOUNTING SOLUTIONS	PV00241118
YES BOSS	PV00284519
YES CATERING	PV00201176
YES CORPORATES	PV124036
YES FOUNDATION	GA481
YES HOLDINGS	PV00234049
YES INTERNATIONAL	PV00283374
YES INVESTMENT CREDIT	PV118742
YES JAY HOLDING	PV00269981
YES LANKA AGRO FARM INTERNATIONAL	PV00232580
YES LANKA INTERNATIONAL	PV00230111
YES LANKA- CHILD & WOMEN PROTECTION UNITED ORGANIZATION	GA00238421
YES ME	PV00235947
YES PARADISE	PV115173
YES PRABHU	PV128961
YES PROPERTY DEVELOPERS	PV00236483
YES S LANKA	PV00249382
YES TOURS	PV00201331
YES TRADING IMPEX	PV00265087
YES VIRTUAL CAMPUS	PV00245250
YES WE HELP	
YESANDU ACADEMY OF HIGHER EDUCATION	PV00218635
YESANSA HOLDINGS	PV00285998
YESH CEYLON	PV00287623
YESHASVI GLOBAL	PV00259773
YESHUWA INVESTMENT	PV00274445
YESS TECHNOLOGIES	PV00266108
YESTEQ SOLUTION	PV00239942
YESTONE CONSTRUCTION	PV00223524
