name	registration_no
ZAI SHOKAI	PV00230642
ZAI TUN INDUSTRIAL PROJECTS	PV13469
ZAID GENERAL TRADING	PV94917
ZAID HOLDINGS	PV00270544
ZAID TEA COMPANY	PV63904
ZAILANKA TRADING	PV95392
ZAIN CARS	PV00243885
ZAIN DOORS	PV00236335
ZAIN ENTERPRISES	PV78820
ZAIN EXPORTERS	PV9419
ZAIN GLOBAL	PV00289226
ZAIN LANKA	PV00235601
ZAIN LANKA PERSONAL TOURS	PV126099
ZAIN SEAFOODS	PV118087
ZAIN TRUST AND ACADAMIC CENTER	
ZAIN'S TRADING INTERNATIONAL	PV00244393
ZAINA AUTO WINGS	PV00206634
ZAINA DANIEL'S HOLDINGS	PV00218084
ZAINA GEMS	PV00228968
ZAINA HOLDINGS	PV00215856
ZAINA MOTORS	PV00285580
ZAINAB AUTO MOBILE TRADING	PV00256705
ZAINAB GEMS INTERNATIONAL	PV00255959
ZAINAB INTERNATIONAL	PV126243
ZAINAB LANKA TRADING	PV86692
ZAINAB TRAVELS AND TOURS	PV00280046
ZAINASH COMPANY	PV10424
ZAINCO AUTO TRADING	PV00257651
ZAINE COMPANY	PV65760
ZAINSON INTERNATIONAL	PV96025
ZAIRO BROTHERS	PV00230098
ZAISTAR PROPERTY DEVELOPERS	PV83787
ZAITHARA MARKETING TRADING	PV00262879
ZAITUN HOLDINGS	PV110097
ZAIZA INTERNATIONAL	PV00240661
ZAIZAH HOLDINGS	PV00227875
ZAIZI ASIA	PV83109
