name	registration_no
ZOOEY CLOTHING COMPANY	PV00308989
ZOOM ADDS	PV00230540
ZOOM CAPITAL INVESTMENTS HOLDINGS	PV00222856
ZOOM GLOBAL	PV00278735
ZOOM HOLDINGS 80	PV00252278
ZOOM HOLIDAYS	PV97047
ZOOM INTERNATIONAL	PV64201
ZOOM LANKA DEVELOPERS	PV8565
ZOOM LOGISTICS	PV00270822
ZOOM MOBILE LANKA	PV00319969
ZOOM PEOPLE	PV00240209
ZOOM REAL ESTATE	PV00208151
ZOOM SOLAR ENERGY	PV00201758
ZOOM TECH  SOLUTIONS	PV00269274
ZOOM TECH	PV00227809
ZOOM TOURS & TRAVELS	PV95816
ZOOMABROAD LANKA	
ZOOMI SOFTLAB	PV106564
ZOOMIES CAFE	
ZOOMING ENTERPRISES	PV00222225
ZOOMIQUE HOLDINGS	PV00234930
ZOOMIT SOLUTIONS	PV117323
ZOOMO CEYLON INTERNATIONAL	PV00302785
ZOOMTECH HOLDINGS	PV00298363
ZOOMWAY TRAVELS	PV00336459
ZOOZ.LK	PV00221355
